node1,node2,relation
CID000002678,CID000003883,C0037763
CID000005203,CID000005650,C0019557
CID000002806,CID000004075,C0043096
CID000002244,CID000003715,C0158252
CID000002666,CID000002812,C0014863
23417,54974,interacts
CID004475485,CID005311027,C0013404
CID000002678,CID000003449,C0008350
CID000003825,CID000123631,C0041912
CID000002083,CID000002909,C0034902
CID000001983,CID000002141,C0041834
CID000004594,CID005329102,C0010692
CID000003062,CID000003962,C0085610
4869,51388,interacts
CID000004171,CID000004449,C0008035
CID000001983,CID000002554,C0080274
CID000000853,CID000150610,C1145670
CID000003365,CID000060835,C0020433
CID000002311,CID000004236,C0575090
CID000004829,CID000041781,C0003123
3107,23111,interacts
CID000000450,CID000003937,C0014457
CID000002771,CID000005358,C0013395
8453,8405,interacts
5715,26271,interacts
CID000002083,CID000002764,C0152031
CID000003348,CID000004927,C0040034
CID000002650,CID000027661,C0595939
CID000004173,CID000004917,C0851578
CID000004917,CID005481350,C0033975
8615,8655,interacts
6599,653781,interacts
CID000004543,CID000004585,C0004093
CID000000772,CID000005478,C0016977
CID000003152,CID000060147,C0027769
6176,29093,interacts
CID000003405,CID000156419,C0151908
CID000004052,CID000004601,C0033975
CID000002471,CID000002656,C0085584
CID000003348,CID000083786,C0231218
CID000003476,CID000004594,C0023518
CID000003639,CID000005512,C0037011
CID000003075,CID000077999,C0041956
CID000004674,CID000005038,C0311394
CID000003255,CID000032797,C0019270
CID000004583,CID000004946,C0037284
CID000003203,CID000005029,C0018524
CID000005090,CID006398970,C0015672
CID000001983,CID000002369,C0152031
CID000004885,CID000060147,C0032617
CID000001986,CID000003440,C0232492
CID000002576,CID000005556,C0011053
CID000003883,CID000005647,C0040034
CID000003661,CID000003734,C0002962
10928,80230,interacts
CID000004595,CID000005090,C0678222
CID000004666,CID000005038,C0151706
1787,6634,interacts
7336,27338,interacts
CID000001690,CID000002019,C0014591
25780,5588,interacts
CID000003878,CID000005402,C0015967
CID000003062,CID000083786,C0009319
55171,55031,interacts
CID000003325,CID000004873,C0277925
CID000004917,CID000072054,C0026769
CID000001983,CID000002610,C0010054
CID000003379,CID000083786,C0011168
CID000004911,CID000005212,C0042029
CID000003348,CID003468412,C0003467
CID000003345,CID000003454,C0000731
CID000002803,CID000005523,C0037315
80273,60491,interacts
79885,474382,interacts
CID000005203,CID000027661,C0020502
6036,6041,interacts
CID000004594,CID000005533,C0003811
8125,26040,interacts
CID000002891,CID000002895,C0007859
CID000001117,CID000004679,C0038395
CID000002284,CID000004885,C0007859
CID000005073,187,targets
CID000001972,CID000005291,C0027726
CID000002806,CID000041781,C0024437
2784,728,interacts
51172,51199,interacts
CID000002142,CID000002156,C0035854
3814,2798,interacts
CID000000191,CID000003440,C0020453
CID000004107,CID000004691,C0013395
CID000004829,CID000119607,C0020456
CID000002764,5729,targets
8175,268,interacts
7398,7917,interacts
CID000003957,CID000028112,C0004623
1571,4097,interacts
CID000003957,CID000005487,C0036396
CID000002160,CID000003488,C0027796
CID000004510,CID000005212,C0027719
CID000002269,CID000005002,C0017601
7441,6693,interacts
CID000003339,CID005311297,C0015672
CID000002269,CID000003883,C0149871
CID000001983,CID000041774,C0032227
CID000003385,CID000005512,C0027947
CID000002764,CID000154059,C0043352
699,6396,interacts
CID000005267,CID000005650,C0435630
84078,142689,interacts
CID000003648,CID000005245,C0020433
CID000005039,CID000054454,C0041909
CID000004594,CID005311039,C0004030
CID000004054,CID000004691,C0151786
CID000002576,CID000004419,C0037199
CID000001046,CID000003446,C0006112
CID000002576,CID000004873,C0014549
CID000002524,CID000027661,C0011884
CID000004829,CID004475485,C0220983
CID000002244,CID000005672,C0242184
CID000003883,CID000004192,C0018944
CID000002162,CID000083786,C0575081
6500,26259,interacts
CID000002083,CID000002802,C0018520
CID000002895,CID000004058,C0038663
CID000003652,CID000004894,C0029925
CID000004635,CID000060184,C0009676
CID000005035,CID000150311,C0043094
CID000002658,CID000003345,C0031542
27098,51517,interacts
CID000002250,CID000005078,C0151825
CID000003386,CID000003899,C0006849
CID000003016,CID000004259,C0019291
CID000002118,CID000003339,C0042109
CID000003652,CID000005647,C0011860
2251,3630,interacts
CID000003405,CID000005401,C0008031
CID000000581,CID000005039,C0878544
CID000005203,CID000008953,C0014118
CID000000444,CID004183806,C0085649
8546,23163,interacts
CID000001117,CID000002524,C0003962
CID000004510,CID000083786,C0020542
CID000003676,CID000004171,C0027497
3660,4281,interacts
CID000002375,CID000005732,C0037763
CID000004900,CID000060835,C0016167
CID000003640,CID000074989,C0018965
CID000004927,CID000005656,C0033860
CID000003746,CID000004900,C0011991
CID000005735,CID000060835,C0008311
CID000002171,CID000003883,C0022660
CID000002650,CID000003780,C0021311
CID000000450,CID000005514,C0314719
4670,55257,interacts
CID000005073,CID000005245,C0020502
81892,10067,interacts
CID000002171,CID000005544,C0020615
CID000003003,CID000008953,C0001339
CID000004679,CID000060184,C0038358
CID000002088,CID000002284,C0018802
CID000003016,CID000004927,C0003873
CID000003672,CID000005029,C0019158
CID000002662,CID000003108,C0004096
CID000005253,CID000060831,C0021400
CID000003658,CID000003957,C0010709
CID000003957,CID000005732,C0010692
CID000002678,CID000005379,C0344232
CID000000815,CID000003440,C0041657
CID000003640,CID000148192,C0011849
CID000003937,CID000176870,C0027497
CID000002462,CID000004236,C0004604
CID000004499,CID000054454,C0002962
152185,7155,interacts
CID000077999,CID005311297,C0029408
10241,285093,interacts
CID000002554,CID000004927,C0085610
CID000004159,CID000010631,C0005826
CID000000143,CID000001117,C0020649
CID000005203,CID000125889,C0042373
CID000002803,CID000004058,C0019196
CID000004091,CID000004168,C0267596
90293,51433,interacts
CID000002471,CID000004091,C0002994
CID000004095,285601,targets
7188,26003,interacts
55872,9787,interacts
CID000002118,CID000004595,C0010200
CID000000853,CID000004920,C0002170
22980,114928,interacts
CID000004736,CID000060835,C0344232
CID000003954,CID000004635,C0003507
28982,100507436,interacts
8365,138474,interacts
CID000005656,CID000068740,C0007859
CID000002812,CID000005645,C0042024
CID000006691,CID000115237,C0010200
CID000003957,CID000005040,C0016053
CID000003143,CID000003405,C0235329
CID000003405,CID000004946,C0023895
820,140596,interacts
6230,64960,interacts
CID000003365,CID000003405,C0242184
CID000002171,CID000003672,C0013404
CID000004594,CID000041781,C0262431
CID000003639,CID005311297,C0016242
CID000002764,CID000004691,C0428977
CID000000214,CID000002162,C0003862
CID000003883,CID000005152,C0012813
CID000002806,CID000122316,C0020651
CID000003385,CID000104741,C0040435
CID000002786,CID000002895,C0002453
CID000002554,CID000054454,C0151706
5898,9820,interacts
5987,92595,interacts
CID000002156,CID000008953,C0030193
27069,79811,interacts
CID000003746,CID000004583,C0019112
CID000002806,CID000003911,C0013362
491,1948,interacts
CID000003157,CID000003672,C0004604
CID000004046,CID000004927,C0018681
140453,146712,interacts
CID000002771,CID000004449,C0227791
7813,9212,interacts
CID000004927,CID000005064,C0009319
CID000003911,CID000005376,C0011168
CID000003062,CID000003883,C0558489
CID000004991,CID000005090,C0011175
CID000001775,CID000003639,C0027497
55330,388552,interacts
CID000000853,CID000004497,C0442874
220134,8243,interacts
CID000002806,CID000002895,C0010034
CID000003350,CID000060184,C0008031
CID000002678,CID000004691,C1510475
811,3135,interacts
6847,27127,interacts
CID000005650,CID000125889,C0005747
CID000002267,CID000002771,C0015695
CID000004052,CID000110635,C0003864
CID000002662,CID000002907,C0026946
CID000003003,CID000004173,C0020621
CID000003899,CID000005035,C0025202
CID000002083,CID000003639,C0013362
CID000001983,CID000005394,C0013404
CID000000453,CID000004946,C0036974
CID000003345,CID000005478,C0018790
CID000005035,CID004183806,C0006840
CID000004601,CID000005039,C0011616
CID000003016,CID000004889,C0085593
CID000004170,CID000005408,C0016199
CID000002435,CID000002895,C0040034
CID000002666,CID000005005,C0022661
CID000004253,CID000005732,C0030486
60314,171483,interacts
CID000003355,CID000003890,C0002962
CID000003652,CID000003672,C0025222
CID000002818,CID000003746,C0011849
28988,23392,interacts
CID000003016,CID000003767,C0010200
CID000123620,CID005311297,C0042025
CID000005651,CID000068740,C0016169
CID000002462,CID000003746,C0014742
CID000001972,CID000004253,C0038362
CID000003405,CID000004917,C0013404
8175,9785,interacts
CID000060184,CID000083786,C0027121
CID000004052,CID000062924,C0031117
CID000000450,CID000005203,C0027404
CID000000581,CID000003062,C0001623
CID000002083,CID000004679,C0085602
6396,991,interacts
2773,51289,interacts
CID000000143,CID005481350,C0004093
CID000002269,CID000003121,C0020598
CID000002576,CID000003937,C0152027
CID000003902,CID000004205,C0037763
CID000002162,CID000004594,C0029400
26065,3187,interacts
983,4735,interacts
CID000003559,CID000004594,C0028081
CID000034312,CID004475485,C0575090
CID000004253,CID000004440,C0030554
CID000002284,CID000005487,C0037315
CID000001972,CID000002022,C0034150
CID000005029,CID000005514,C0014866
CID000002666,CID000005073,C0001339
CID000060865,CID000150311,C0030196
CID000003203,CID000004095,C0027497
CID000003746,CID000005372,C0151908
4090,657,interacts
CID000005002,1146,targets
CID000002265,CID000005578,C0019193
5577,55559,interacts
51194,7337,interacts
CID000060852,CID006398525,C0013604
CID000000853,CID000002088,C0042345
CID000003676,CID000005267,C0029456
CID000001690,CID000005076,C0028081
9132,10273,interacts
CID000004158,CID000005073,C0037023
CID000002171,CID000003157,C0026821
248,65003,interacts
3476,10471,interacts
2070,9531,interacts
CID000005076,CID000131536,C0009376
CID000000450,CID000004585,C0011991
CID000004058,CID000005656,C0017168
CID000002812,CID000004594,C0025323
CID000000159,CID000003325,C0014518
CID000002524,CID000004168,C0008033
CID000002666,CID000005005,C0023646
142678,7319,interacts
CID000002160,CID000005073,C0013384
CID000002678,CID000003386,C0006267
CID000003937,CID000060835,C0026267
CID000003152,CID000006691,C0018924
CID000003672,CID000004894,C0004238
CID000004609,CID000008953,C0003123
CID000003403,CID000004594,C0014869
CID000003032,CID000003075,C0034212
CID000002678,CID000005040,C0023798
CID000003640,CID000005039,C0007642
CID000002662,CID000004173,C0013604
CID000002658,CID000003793,C0026946
29979,5714,interacts
CID000004075,CID000005512,C0020649
CID000004543,CID000125889,C0019079
CID000068844,CID004475485,C0009763
CID000001690,CID000002187,C0021311
CID000002244,CID000005391,C0024115
CID000002909,CID000008953,C0016977
CID000002250,CID000003410,C0151636
CID000002088,CID000005358,C0002103
CID000002250,CID000003957,C0040046
200576,5728,interacts
CID000002662,CID000002666,C0016167
CID000005379,CID000005426,C0004096
CID000004819,CID000005538,C0031090
CID000000450,CID000005039,C0152031
8367,8366,interacts
CID000003957,CID005329102,C0151904
CID000002554,CID000003372,C0018801
CID000003890,CID000062924,C0010709
CID000002554,CID000034312,C0004604
CID000002666,CID000003365,C0018939
CID000003639,CID000005650,C0017601
CID000002083,CID000003386,C0031542
CID000000772,CID000004583,C0007117
CID000005372,CID000060184,C0020461
CID000002250,CID000005152,C0041582
CID000003467,CID000004583,C0008350
CID000002662,CID000003823,C0206062
CID000002732,CID000003446,C0020538
CID000003672,CID000004052,C0030196
CID000003883,CID006398525,C0028754
3606,1392,interacts
CID000002895,CID000005650,C0027769
CID000003325,CID000004168,C0037199
CID000003958,CID000005040,C0031542
CID000041781,CID000059708,C0020461
CID000002435,CID000004594,C0034886
3000,5313,interacts
CID000002678,CID000130881,C0018800
CID000003749,CID000060795,C0017152
CID000001065,CID000003121,C0085593
CID000003750,CID000004595,C0001824
24,6010,interacts
5978,4916,interacts
CID000000942,CID000003325,C0021400
CID000003823,CID000010631,C0878544
CID000002308,CID000003405,C0015695
CID000005487,CID000010631,C0020615
CID000003672,CID000004900,C0013395
CID000003325,CID000003488,C0010055
CID000003148,CID000005650,C0016169
CID000003075,CID000003386,C0152128
CID000003657,CID000005732,C0013221
CID000002949,CID000004594,C0002871
CID000002022,CID000002891,C0003850
CID000002802,CID000003516,C0027343
CID000003763,CID000039765,C0027051
9860,26270,interacts
CID000038904,CID006398525,C0013144
CID000003016,CID000003516,C0042420
CID000004052,CID000005650,C0043352
CID000002955,CID000667490,C0027947
CID000003440,CID005493381,C0034065
CID000002405,CID000003559,C0014549
CID000000772,CID000005466,C0030196
CID000002802,CID000041317,C0020557
CID000002806,CID000005090,C0034212
CID000002909,CID000003161,C0002874
CID000001065,CID000002022,C0015230
CID000004894,CID006918453,C0085680
CID000002666,CID000005650,C0011609
CID000001302,CID000004911,C0003862
CID000000772,CID000003461,C0018965
CID000002524,CID000003345,C0398353
CID000004594,CID000163742,C0001824
2023,6950,interacts
CID000003883,CID000148192,C0013473
CID000003826,CID000005732,C0002170
CID000000942,CID000004168,C0023890
CID000003345,CID000004609,C0000737
3265,2357,interacts
CID000003658,CID000005090,C0023418
CID000002666,CID000004091,C0000737
CID000003463,CID000004917,C0836924
CID000005426,CID000062924,C0039070
CID000003911,CID000060953,C0836924
CID000002476,5021,targets
CID000003639,CID000005372,C0266813
CID000004205,CID000004845,C0398353
CID000004594,CID000005496,C0151766
CID000002162,CID000005533,C0018681
CID000002585,CID000005029,C0033687
CID000003405,CID000151165,C0027947
CID000000937,CID000003440,C0037195
CID000004679,CID000054808,C0013182
CID000003365,CID000004044,C0151480
CID000002578,CID000003367,C0035222
CID000003516,CID000004927,C0007785
7043,4086,interacts
CID000000942,CID000004599,C0020443
CID000002244,CID000002732,C0007787
CID000003075,CID000005234,C0018802
CID000003308,CID000003639,C0027962
CID000005245,CID000005352,C0032305
CID000005029,CID000010631,C0040460
CID000003883,CID000004091,C0020473
CID000003510,CID000003690,C0003962
CID000003639,CID000004168,C0002622
CID000004927,CID000005245,C0042769
CID000000450,CID000005735,C0016053
CID000004691,CID000119607,C0011849
CID000002646,CID000003928,C0035410
CID000003003,CID000004900,C0917799
CID000001983,CID000002250,C0265031
11326,7517,interacts
CID000003003,CID000060835,C0575081
CID000000444,CID000004900,C0162834
CID000003962,CID000004091,C0000833
CID000004679,CID000005731,C0020676
26986,9337,interacts
CID000005064,CID000087177,C0004238
CID000005717,CID005487301,C0006266
CID000000838,CID000004253,C0018801
CID000001302,CID000003419,C0013604
CID000004112,CID000083786,C0438215
CID000003075,CID000005401,C0018808
2353,54578,interacts
CID000004091,CID000110634,C0040136
CID000003157,CID000004666,C0235896
CID000054808,CID000060865,C0002962
CID000002520,CID000104865,C0004093
CID000003937,CID000060852,C0085606
6272,26258,interacts
CID000004583,CID000005039,C0278008
CID000004594,CID000005732,C0012569
CID000003652,CID000005039,C0020625
CID000004594,CID000005005,C0030319
CID000003446,CID000005267,C0008320
CID000004259,CID000005090,C0017152
CID000002764,CID000003883,C0013604
CID000002806,CID000004946,C0037199
CID000002022,CID000004873,C0520474
54926,118424,interacts
CID000003365,CID000005234,C0022660
CID000003869,CID003085017,C0002878
CID000004171,CID005311048,C0003578
CID000003003,CID000005212,C0020443
CID000003890,CID000004485,C0027497
6204,1454,interacts
CID000003883,CID000004829,C0004604
CID000003386,CID000124087,C0008031
CID000060147,CID006398525,C0034065
CID000000581,CID000004634,C0004093
CID000005512,CID000038904,C0020649
8348,51616,interacts
CID000005038,CID000060852,C0043144
CID000002250,CID000003032,C0030193
CID000001972,CID000003405,C0004030
6272,375,interacts
CID000005090,CID000005732,C0040590
4041,8707,interacts
CID000002656,CID000003780,C0020461
CID000003702,CID000054688,C0037763
CID000003826,CID000003958,C0085096
CID000123620,CID004475485,C0242379
3178,8826,interacts
CID000004536,CID000004920,C0042510
CID000002524,CID000003222,C0013144
CID000002244,CID000004635,C0158252
CID000003161,CID000003405,C0004093
CID000002244,CID000005472,C0043096
CID000004171,CID000060795,C0008767
7316,841,interacts
CID000002895,CID000005656,C0149931
CID000003279,CID005481350,C0011609
CID000005245,CID000060831,C0085649
CID000003958,CID000004635,C0013362
CID000002083,CID000003826,C0002453
CID000002118,CID000003278,C0027796
CID000004259,CID000004917,C0018916
CID000002895,CID000124087,C0038358
CID000002244,CID000004932,C0013221
CID000004594,CID000005651,C0020461
CID000002462,CID000010631,C0392525
CID000002083,CID000002250,C0036974
CID000001302,CID000005029,C0042024
CID000003393,CID000004900,C0038999
CID000005245,CID000005379,C0041657
51019,167838,interacts
CID000005039,CID000010631,C0016382
CID000003255,CID000005372,C0011991
CID000000853,CID000002658,C0043144
23389,1024,interacts
9939,84659,interacts
CID000003878,CID000005073,C0043144
CID000000853,CID000104865,C0235896
CID000000143,CID000002249,C0020676
CID000003348,CID000119607,C0017160
CID000003148,CID000003672,C0015672
CID000001983,CID000005472,C0022660
CID000004513,CID000005002,C0042024
CID000003143,CID000124087,C0037383
CID000005726,CID005481350,C0042384
CID000002118,CID000002130,C0030193
CID000000772,CID000003003,C0003874
CID000003203,CID000003749,C0022660
6318,8453,interacts
CID000003016,CID000003954,C0027497
CID000004259,CID000062924,C0002962
CID000002156,CID000003954,C0001824
CID000003404,CID000004635,C0013395
CID000003883,CID000443871,C0043094
CID000001983,CID000002662,C0017181
CID000002156,CID000003350,C0020461
CID000003911,CID000004674,C0020488
CID000005525,CID000005732,C0019360
CID000003405,CID000003696,C0022104
CID000003348,CID000003676,C0702166
CID000003741,CID000004253,C0149871
2197,51619,interacts
CID000002662,CID000003488,C0267596
CID000004585,CID000005466,C0013144
CID000004411,CID000004594,C0017658
6233,56254,interacts
CID000005878,CID005481350,C0035078
CID000005039,CID000151165,C0010692
CID000002162,CID000068740,C0032227
3030,5095,interacts
CID000004253,CID000005002,C0035455
1164,144811,interacts
CID000000853,CID000160051,C0016059
CID000000191,CID000004171,C0002994
CID000001971,CID000003365,C0149696
27199,259285,interacts
CID000002160,CID000003652,C0017181
CID000002678,CID000004595,C0009319
CID000003075,CID005329102,C0027343
CID000000444,CID000005073,C0042963
6092,2049,interacts
CID000003488,CID000005064,C0013362
CID000003639,CID000004634,C0038450
29979,55272,interacts
CID000004595,CID000005978,C0007177
9631,3310,interacts
CID000004609,CID006398525,C0020538
CID000004829,CID000005267,C0043352
CID000003325,CID000004236,C0004601
CID000062924,CID000077999,C0151723
CID000002088,CID000003958,C0004093
CID000003222,CID000027661,C0029163
CID000005029,CID000005514,C0013604
CID000003652,CID000004911,C0035222
CID000004034,CID000004873,C0085096
CID000005035,CID000062924,C0040264
CID000000206,CID000004253,C0042963
CID000002803,CID000005002,C0003872
CID000003488,CID000004259,C0008325
10563,50838,interacts
CID000003350,CID000004917,C0011991
CID000005487,CID000060795,C0009676
CID000003114,CID000003440,C0009421
CID000004893,339403,targets
CID000003958,CID000004168,C0018824
10980,6389,interacts
CID000001986,CID000003467,C0032300
CID000005090,5732,targets
339291,10672,interacts
CID000000450,CID000002250,C0042109
CID000005073,CID000005376,C0034065
CID000004253,CID005493381,C0020437
CID000003386,CID000005466,C0006325
CID000003640,CID000060831,C0006277
3991,345,interacts
CID000060831,CID000176870,C0002170
5657,9235,interacts
6750,23583,interacts
CID000003640,CID000004159,C0017181
CID000003648,CID000054454,C0026986
CID000002088,CID000032797,C0028077
CID000001302,CID000005038,C0014869
CID000005478,CID000010631,C0008350
CID000003043,CID000005408,C0031117
CID000003446,CID000004052,C0027051
CID000005245,CID000005394,C0020621
CID000004635,CID000005376,C0018800
CID000000937,CID000003339,C0024299
CID000003476,CID000003878,C0043094
CID000004253,CID000005155,C0002871
9801,6134,interacts
CID000003222,CID005311048,C0020517
CID000003345,CID000005732,C0238154
CID000005487,CID000060795,C0031039
CID000002576,CID000005073,C0085624
CID000003639,CID000005978,C0009676
CID000003348,CID000005394,C0020649
CID000003386,CID000005035,C0221706
CID000002541,CID005311048,C0549567
CID000000581,CID000024486,C0032326
CID000004856,CID000005029,C0038454
CID000005038,CID000005212,C0011860
CID000002130,CID000003222,C0042029
26065,374887,interacts
23035,5580,interacts
CID000002524,CID000006691,C0003864
CID000003325,CID000005426,C0149514
CID000003032,CID000005035,C0022679
CID000060831,CID000154059,C0042029
CID000004205,CID000004885,C0018939
CID000002631,CID000003672,C0019080
CID000005645,CID000130881,C0014591
CID000002088,CID000002895,C0022116
CID000003461,CID000003954,C0004610
55349,57017,interacts
CID000004595,CID000005029,C0041657
CID000003446,CID000005077,C0036421
CID000003325,CID000003339,C0015672
CID000002756,CID000003672,C0151517
CID000051634,CID000059708,C0014544
CID000003419,CID000004829,C0028734
CID000003749,CID000005005,C0011860
51343,7534,interacts
CID000004635,CID000004927,C0022661
CID000004691,CID000004856,C0019158
CID000003780,CID000005090,C0015672
CID000005376,CID000062924,C0151744
CID000002818,CID000004691,C0028754
22834,653269,interacts
CID000002812,CID000003957,C0032227
3443,1438,interacts
11081,25864,interacts
CID000003958,CID000004634,C0043144
CID000002662,CID000003652,C0002871
CID000005212,CID000110635,C0032617
8651,3445,interacts
CID000000937,CID000003463,C0011880
CID000004599,CID000119607,C0009319
CID000001302,CID000004679,C0040997
CID000005002,CID000170361,C0004601
CID000002520,CID000003449,C0009421
CID000002662,CID000004091,C0030319
CID000003440,CID000005472,C0018800
CID000003249,CID000004170,C0151723
CID000003958,CID000060953,C0456909
CID000003639,CID000003652,C0006277
CID000003261,CID000003958,C0023895
CID000005645,CID000005651,C0040034
CID000005401,CID000077999,C0020538
CID000001983,CID000072938,C0152027
CID000003478,CID000087177,C0085602
CID000001983,CID000005578,C0019079
CID000003152,CID000005650,C0014544
CID000002520,CID000005073,C0003862
CID000002022,CID000005732,C0031350
CID000002802,CID000003404,C0033687
CID000002160,CID000054454,C0007286
CID000001983,CID000003345,C0151517
CID000002617,CID005381226,C0040034
CID000003937,CID000005426,C0020651
CID000005512,CID000005656,C0018188
CID000002244,CID000005514,C0040822
CID000004159,CID000005212,C0042487
CID000002541,CID000004595,C0019112
CID000003161,CID000003386,C0027769
CID000003639,CID000060835,C0012833
CID000003325,CID000003478,C0221150
CID000000853,CID000004034,C0231807
CID000002609,CID000004894,C0039231
CID000005002,CID000028112,C0024115
CID000002088,CID000003746,C0038358
CID000002153,CID000062924,C0000737
CID000002895,CID000004158,C0030554
CID000003640,CID000003676,C0008033
CID000060147,CID000216239,C0004093
CID000004594,CID000004634,C0031350
CID000002786,CID000004200,C0085649
CID000004411,CID000005064,C0026858
CID000004889,CID000004900,C1253936
9742,79989,interacts
CID000005203,CID000005556,C0035078
CID000003310,CID000004159,C0028084
CID000004052,CID005329102,C0038362
CID000003488,CID000003958,C0027769
CID000004679,CID000124087,C0000786
CID000005647,CID000032797,C0004093
CID000000450,CID000002520,C0231528
CID000002022,CID000002156,C0274435
377841,2986,interacts
CID000004173,CID000005038,C0042133
CID000005650,CID000148211,C0018800
CID000000444,CID000001065,C0020538
CID000003075,CID000062924,C0039231
5575,2967,interacts
CID000000853,CID000003741,C0022660
5861,11070,interacts
CID000004253,CID000004510,C0011991
CID000000772,CID000004873,C0005758
CID000003958,CID000004889,C0007876
7336,200845,interacts
CID000001690,CID000003690,C0085584
CID000003883,CID000004614,C0028754
CID000002786,CID000003279,C0042029
CID000004873,CID000005267,C0025286
CID000004585,CID006398970,C0242362
CID000004946,CID000005650,C0007642
CID000004159,CID000004894,C0022346
CID000002249,CID000003672,C0520474
CID000003365,CID000005487,C0038454
CID000003032,CID000005647,C0029456
CID000002162,CID000003962,C0020456
CID000003957,CID005481350,C0085602
CID000003003,CID000004740,C0027947
CID000002130,CID000002250,C0151636
CID000004585,CID000028112,C0023895
CID000003961,6010,targets
1911,128312,interacts
CID000004595,CID000077993,C0917801
CID000003042,CID000150311,C0011615
CID000005064,CID000005203,C0035258
4881,672,interacts
5294,653781,interacts
CID000002756,CID000003877,C0020458
CID000003672,CID000077999,C0438215
CID000004917,CID000062924,C0039070
CID000002907,CID005473385,C0027813
CID000002732,CID000003639,C0034212
CID000003961,CID000027661,C0085584
CID000002771,CID000003386,C0020458
CID000004740,CID000062924,C0003467
CID000004485,CID000005090,C0013405
CID000003937,CID000004168,C0497156
CID000005005,CID000005090,C0013295
51747,9879,interacts
CID000005523,CID000038904,C0040435
CID000005039,CID000125889,C0020040
CID000003222,CID000004634,C0011849
CID000002771,CID000002786,C0027051
6229,60559,interacts
CID000002284,CID000002678,C0011615
CID000002462,CID000002771,C0019348
CID000003016,CID000004595,C0004601
CID000000271,CID000003478,C0020538
CID000003672,CID000125889,C0019322
644186,51199,interacts
CID000003715,CID000006691,C0151723
51116,10667,interacts
CID000003639,CID000038904,C0013473
CID000003559,CID000003883,C0025323
CID000004253,CID003085017,C0011175
CID000002764,CID000003016,C0009676
CID000004107,CID000004547,C0917801
CID000002585,CID000005090,C0019322
55623,23097,interacts
CID000002554,CID000003386,C0019209
CID000002576,CID000003446,C0015672
5438,8451,interacts
CID000002771,CID000003310,C0015672
5436,9295,interacts
CID000002576,CID000005002,C0010054
CID000004920,CID000130881,C0011168
CID000002171,CID000002756,C0003811
CID000001983,CID000005533,C0026267
CID000003510,CID000003902,C0398353
CID000005040,CID000508230,C0036421
CID000002666,CID000003384,C0151744
CID000005391,CID000060795,C0018799
CID000002524,CID000003325,C0031117
CID000004253,CID005487301,C0151971
CID000004112,CID000004513,C0027947
51602,25879,interacts
CID000001983,CID000004509,C0019158
CID000003937,CID000004547,C0027651
CID000004159,CID000150311,C0012813
CID000003345,CID000003648,C0085631
55294,7326,interacts
CID000003715,CID000060835,C0030353
129831,5496,interacts
CID000004112,CID000005651,C0017675
